matchId,winner_BOTTOM,winner_JUNGLE,winner_MIDDLE,winner_TOP,winner_UTILITY,loser_BOTTOM,loser_JUNGLE,loser_MIDDLE,loser_TOP,loser_UTILITY
EUW1_7039406925,Jinx,Taliyah,Aurora,Ornn,Skarner,Ashe,Volibear,Yasuo,Trundle,Pyke
EUW1_7039424056,Ashe,Graves,Zed,Shyvana,Leona,Zeri,Khazix,Ryze,Yorick,Lux
EUW1_7053945174,MissFortune,Nocturne,Diana,Vladimir,Leona,Sivir,Viego,Cassiopeia,Yone,Velkoz
EUW1_7054035588,Nilah,Garen,Ahri,Karma,Milio,Samira,Ivern,Zoe,Urgot,Nautilus
EUW1_7054314692,Xayah,Vi,Yone,Illaoi,Yuumi,Caitlyn,Rammus,Diana,Camille,Morgana
EUW1_7075514799,Jinx,Viego,Ahri,Urgot,Leona,Ashe,FiddleSticks,Zoe,Camille,Seraphine
EUW1_7076602425,Jinx,Shyvana,Morgana,Renekton,Thresh,Smolder,Khazix,Diana,Mordekaiser,Senna
EUW1_7077209687,Ashe,Khazix,Leblanc,Yone,Poppy,Lucian,Viego,Orianna,Aatrox,Bard
EUW1_7077622575,MissFortune,Nidalee,Katarina,Aatrox,Alistar,Jinx,Nunu,Zed,Chogath,Nautilus
EUW1_7077825989,Vayne,Talon,Syndra,Riven,Ashe,Veigar,MasterYi,Katarina,Aatrox,Chogath
EUW1_7078674426,Caitlyn,Gragas,Lux,Sett,Nautilus,Draven,Kindred,Galio,Nidalee,Soraka
EUW1_7078699463,Caitlyn,Vi,Aurora,Gangplank,Nautilus,Ashe,Khazix,Vladimir,Darius,Blitzcrank
EUW1_7082217597,Caitlyn,Lillia,Diana,Renekton,Nami,Lucian,JarvanIV,Yone,Mordekaiser,Senna
EUW1_7082298831,Xayah,XinZhao,Vex,Renekton,FiddleSticks,Smolder,Warwick,Syndra,Teemo,Braum
EUW1_7082421575,Caitlyn,Viego,Diana,Teemo,Braum,Kaisa,Khazix,Aurora,Tryndamere,Brand
EUW1_7082477715,Caitlyn,LeeSin,Zoe,Kayle,Lux,Jhin,Shyvana,Galio,Darius,TahmKench
EUW1_7085371206,Caitlyn,FiddleSticks,Xerath,Sion,Braum,Jinx,Lillia,Anivia,Garen,Sona
EUW1_7086493988,Ziggs,MasterYi,Orianna,Gangplank,Seraphine,Kaisa,FiddleSticks,Yone,Aatrox,Hwei
EUW1_7086522330,Kaisa,Zed,Leblanc,Aatrox,Morgana,,Evelynn,Veigar,DrMundo,Bard
EUW1_7086539136,Jinx,Nidalee,Smolder,Aatrox,Senna,Smolder,Gwen,Aurora,Darius,Lux
EUW1_7086579751,Vayne,Nunu,Veigar,Gnar,Taric,Jhin,Nidalee,Sylas,Aatrox,Senna
EUW1_7087546142,Yasuo,Volibear,Corki,Aurora,Morgana,MissFortune,Warwick,Katarina,Aatrox,Bard
EUW1_7088540968,Ashe,Viego,Lux,Aatrox,Morgana,MissFortune,Kayn,Lux,Chogath,Senna
EUW1_7088599895,Jhin,LeeSin,Diana,Galio,Senna,Smolder,Shyvana,Ryze,Aatrox,Neeko
EUW1_7089031952,Ezreal,Shyvana,Viktor,Neeko,Ashe,Vayne,Kayn,Katarina,Aatrox,RekSai
EUW1_7090669835,Caitlyn,Kayn,Leblanc,Mordekaiser,Bard,Jhin,Amumu,Swain,Garen,Thresh
EUW1_7090838214,Tristana,Amumu,Malzahar,Sett,Neeko,Kaisa,LeeSin,Aurora,Vayne,Lux
EUW1_7092702436,Smolder,Nocturne,Xerath,Vayne,TahmKench,Ezreal,Poppy,Gangplank,Illaoi,Velkoz
EUW1_7094165073,Zeri,Amumu,Yone,Darius,Soraka,Lucian,Ivern,,Renekton,Neeko
EUW1_7096371129,MissFortune,LeeSin,Lux,Yorick,Nautilus,Thresh,MonkeyKing,Akali,Quinn,TahmKench
EUW1_7096442492,Caitlyn,Kayn,Katarina,Darius,Rakan,Ashe,LeeSin,Akali,Garen,Blitzcrank
EUW1_7096555486,Ezreal,Amumu,Leblanc,Yorick,Bard,MissFortune,Sylas,Ahri,Yone,Ashe
EUW1_7096606324,Jinx,Kayn,Naafiri,MonkeyKing,Blitzcrank,KogMaw,Warwick,Diana,Ornn,Pantheon
EUW1_7096696426,Zeri,Elise,Kassadin,Garen,Poppy,Samira,Shaco,Orianna,Gwen,Pyke
EUW1_7098473202,Ziggs,Zac,Naafiri,Nasus,Hwei,Ashe,Evelynn,Annie,TahmKench,Nautilus
EUW1_7099764516,Ezreal,Briar,Ziggs,Ornn,Pyke,MissFortune,Kayn,Pantheon,Sion,Syndra
EUW1_7100664104,Seraphine,Amumu,Akshan,Yasuo,Zyra,Draven,XinZhao,Taliyah,Akali,TahmKench
EUW1_7103590994,Ashe,Belveth,Ahri,Aatrox,Senna,Ezreal,MasterYi,Yone,Warwick,Xerath
EUW1_7103635875,Jinx,Diana,Galio,Warwick,Blitzcrank,Vayne,Shaco,Zoe,Nasus,Lux
EUW1_7103678874,Kaisa,Zed,Galio,Warwick,Zac,Caitlyn,Amumu,Vex,Garen,Lux
EUW1_7103728763,MissFortune,Nocturne,Annie,Sion,Brand,Sivir,LeeSin,Yone,Warwick,Nami
EUW1_7103858647,Kaisa,Kayn,Fizz,Yorick,Lux,KogMaw,Zac,Talon,Warwick,Brand
EUW1_7104520992,Draven,Khazix,Leblanc,Warwick,Pyke,Vayne,Sylas,Azir,Aatrox,Lux
EUW1_7104566794,Twitch,Viego,Lissandra,Illaoi,Yuumi,Ashe,Volibear,Hwei,Warwick,Lux
EUW1_7104847608,Smolder,Brand,Corki,Warwick,Xerath,Ashe,XinZhao,Viktor,Camille,Braum
EUW1_7104948575,Nilah,Rammus,Syndra,Jax,Senna,Caitlyn,Lillia,Leblanc,Warwick,Hwei
EUW1_7104983318,Jhin,Belveth,Smolder,Warwick,Xerath,Ezreal,Shaco,Ziggs,Renekton,Blitzcrank
EUW1_7105329672,Jinx,LeeSin,Fizz,Teemo,Lulu,Ezreal,Khazix,Pyke,Yasuo,Soraka
EUW1_7105435764,MissFortune,Briar,Yasuo,Gwen,Swain,Kaisa,Nocturne,Vex,KSante,Maokai
EUW1_7105473570,Kaisa,MonkeyKing,Diana,Urgot,Milio,Caitlyn,Brand,TwistedFate,Garen,Soraka
EUW1_7105911639,Aphelios,XinZhao,Pantheon,Illaoi,Senna,MissFortune,LeeSin,Zoe,Gangplank,Rakan
EUW1_7107165216,Kaisa,Kayn,Velkoz,Udyr,Leona,Jhin,XinZhao,Pantheon,Malphite,Lux
EUW1_7107203358,Jhin,Gwen,Irelia,Aatrox,Bard,Smolder,XinZhao,LeeSin,Mordekaiser,Yuumi
EUW1_7107232079,Smolder,XinZhao,Yasuo,Sion,Thresh,Samira,Diana,Yone,KSante,Braum
EUW1_7123351855,Zeri,Viego,Leblanc,Trundle,Lux,Caitlyn,Kayn,Xerath,Renekton,Poppy
EUW1_7123383429,Samira,Zed,Alistar,Fiora,Blitzcrank,Kaisa,Sylas,Malphite,Smolder,Shaco
